2/20/2020 	 10:33:05 AM 
 This file comes from Vt only measurement 	 1.000000E+0 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 1000 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	0.236357
	0.001000	0.257445
	0.002000	0.280155
	0.003000	0.304163
	0.004000	0.346015
	0.005000	0.344069
	0.006000	0.341797
	0.007000	0.362561
	0.008000	0.348286
	0.009000	0.313248
	0.010000	0.303190
	0.011000	0.275938
	0.012000	0.239277
	0.013000	0.245766
	0.014000	0.240899
	0.015000	0.219811
	0.016000	0.237006
	0.017000	0.280155
	0.018000	0.294430
	0.019000	0.312923
	0.020000	0.346340
	0.021000	0.349908
	0.022000	0.358019
	0.023000	0.371970
	0.024000	0.355748
	0.025000	0.322007
	0.026000	0.290537
	0.027000	0.273667
	0.028000	0.243170
	0.029000	0.215269
	0.030000	0.219811
	0.031000	0.227922
	0.032000	0.219487
	0.033000	0.236682
	0.034000	0.276911
	0.035000	0.287293
	0.036000	0.309354
	0.037000	0.358343
	0.038000	0.350233
	0.039000	0.351206
	0.040000	0.377485
	0.041000	0.352179
	0.042000	0.317465
	0.043000	0.300595
	0.044000	0.285671
	0.045000	0.235384
	0.046000	0.234086
	0.047000	0.238953
	0.048000	0.204563
	0.049000	0.227922
	0.050000	0.258094
	0.051000	0.285022
	0.052000	0.293457
	0.053000	0.311301
	0.054000	0.352504
	0.055000	0.353801
	0.056000	0.335958
	0.057000	0.363534
	0.058000	0.349259
	0.059000	0.311625
	0.060000	0.294106
	0.061000	0.288591
	0.062000	0.238304
	0.063000	0.251606
	0.064000	0.245766
	0.065000	0.207483
	0.066000	0.228246
	0.067000	0.265232
	0.068000	0.283400
	0.069000	0.310003
	0.070000	0.347313
	0.071000	0.351206
	0.072000	0.366130
	0.073000	0.376512
	0.074000	0.357370
	0.075000	0.332713
	0.076000	0.302217
	0.077000	0.278209
	0.078000	0.246739
	0.079000	0.224678
	0.080000	0.220136
	0.081000	0.220785
	0.082000	0.212025
	0.083000	0.231166
	0.084000	0.272045
	0.085000	0.293782
	0.086000	0.313248
	0.087000	0.347313
	0.088000	0.339202
	0.089000	0.338229
	0.090000	0.376836
	0.091000	0.350882
	0.092000	0.314545
	0.093000	0.309679
	0.094000	0.285022
	0.095000	0.278858
	0.096000	0.273018
	0.097000	0.266205
	0.098000	0.235384
	0.099000	0.247063
	0.100000	0.262636
	0.101000	0.282751
	0.102000	0.287942
	0.103000	0.297350
	0.104000	0.327522
	0.105000	0.329145
	0.106000	0.323305
	0.107000	0.334984
	0.108000	0.314870
	0.109000	0.284373
